A01	22400001	23400000	10506	A01	22400001	23400000	17983	A01	22400001	23400000	15509	A01	22400001	23400000	3578	A01	22400001	23400000	8007	A01	22400001	23400000	4020	A01	22400001	23400000	4907
A01	23200001	24200000	12173	A01	23200001	24200000	18427	A01	23200001	24200000	16084	A01	23200001	24200000	4198	A01	23200001	24200000	9068	A01	23200001	24200000	4662	A01	23200001	24200000	5573
A01	24000001	25000000	12406	A01	24000001	25000000	21260	A01	24000001	25000000	18310	A01	24000001	25000000	4480	A01	24000001	25000000	9581	A01	24000001	25000000	4740	A01	24000001	25000000	6134
A01	24800001	25800000	15523	A01	24800001	25800000	23696	A01	24800001	25800000	21058	A01	24800001	25800000	5189	A01	24800001	25800000	10826	A01	24800001	25800000	5238	A01	24800001	25800000	7090
A01	25600001	26600000	14233	A01	25600001	26600000	22908	A01	25600001	26600000	20926	A01	25600001	26600000	4946	A01	25600001	26600000	10517	A01	25600001	26600000	5151	A01	25600001	26600000	6470
A01	26400001	27400000	13819	A01	26400001	27400000	20296	A01	26400001	27400000	17863	A01	26400001	27400000	4740	A01	26400001	27400000	9946	A01	26400001	27400000	5223	A01	26400001	27400000	5993
A01	27200001	28200000	10364	A01	27200001	28200000	16172	A01	27200001	28200000	13877	A01	27200001	28200000	3842	A01	27200001	28200000	8129	A01	27200001	28200000	4163	A01	27200001	28200000	4760
A01	28000001	29000000	8829	A01	28000001	29000000	16754	A01	28000001	29000000	13284	A01	28000001	29000000	3532	A01	28000001	29000000	7936	A01	28000001	29000000	3940	A01	28000001	29000000	4891
A01	28800001	29800000	11815	A01	28800001	29800000	23041	A01	28800001	29800000	18561	A01	28800001	29800000	4630	A01	28800001	29800000	10566	A01	28800001	29800000	5020	A01	28800001	29800000	6571
A01	29600001	30600000	9602	A01	29600001	30600000	18339	A01	29600001	30600000	14875	A01	29600001	30600000	3442	A01	29600001	30600000	8016	A01	29600001	30600000	3886	A01	29600001	30600000	5176
A01	30400001	31400000	9456	A01	30400001	31400000	16856	A01	30400001	31400000	13161	A01	30400001	31400000	3618	A01	30400001	31400000	7587	A01	30400001	31400000	3962	A01	30400001	31400000	4719
A01	31200001	32200000	12409	A01	31200001	32200000	23478	A01	31200001	32200000	19553	A01	31200001	32200000	4449	A01	31200001	32200000	10175	A01	31200001	32200000	4644	A01	31200001	32200000	6409
