A01	1	1000000	80,0
A01	1000001	2000000	0,80
A01	2000001	3000000	0,80
A01	3000001	4000000	0,80
A01	4000001	5000000	80,0
A01	6000001	7000000	0,80
A01	7000001	8000000	80,0
A01	8000001	9000000	40,40
A01	9000001	10000000	80,0
A01	10000001	11000000	66.6667,13.3333
A01	15000001	16000000	80,0
A01	17000001	18000000	40,40
A01	18000001	19000000	0,80
A01	20000001	21000000	53.3333,26.6667
A01	23000001	24000000	40,40
A01	24000001	25000000	80,0
A01	25000001	26000000	80,0
A01	27000001	28000000	80,0
A01	28000001	29000000	0,80
A01	29000001	30000000	32,48
A01	32000001	33000000	26.6667,53.3333
A01	33000001	34000000	0,80
A01	35000001	36000000	40,40
A01	36000001	37000000	80,0
A01	38000001	39000000	80,0
A01	39000001	40000000	80,0
A01	42000001	43000000	0,80
A01	44000001	45000000	80,0
A01	45000001	46000000	80,0
A01	48000001	49000000	60,20
A01	49000001	50000000	80,0
A01	50000001	51000000	80,0
A01	51000001	52000000	80,0
A01	52000001	53000000	0,80
A01	53000001	54000000	40,40
A01	54000001	55000000	80,0
A01	55000001	56000000	40,40
A01	56000001	57000000	80,0
A01	57000001	58000000	0,80
A01	58000001	59000000	80,0
A01	59000001	60000000	80,0
A01	60000001	61000000	80,0
A01	61000001	62000000	48,32
A01	62000001	63000000	40,40
A01	63000001	64000000	80,0
A01	64000001	65000000	80,0
A01	67000001	68000000	53.3333,26.6667
A01	68000001	69000000	53.3333,26.6667
A01	69000001	70000000	40,40
A01	71000001	72000000	80,0
A01	72000001	73000000	40,40
A01	73000001	74000000	26.6667,53.3333
A01	74000001	75000000	80,0
A01	76000001	77000000	80,0
A01	77000001	78000000	0,80
A01	78000001	79000000	40,40
A01	80000001	81000000	0,80
A01	82000001	83000000	0,80
A01	85000001	86000000	80,0
A01	86000001	87000000	80,0
A01	87000001	88000000	0,80
A01	88000001	89000000	40,40
A01	89000001	90000000	0,80
A01	90000001	91000000	40,40
A01	91000001	92000000	80,0
A01	92000001	93000000	0,80
A01	94000001	95000000	80,0
A01	96000001	97000000	60,20
A01	97000001	98000000	26.6667,53.3333
A01	99000001	100000000	0,80
A02	2000001	3000000	80,0
A02	4000001	5000000	40,40
A02	5000001	6000000	0,80
A02	6000001	7000000	0,80
A02	8000001	9000000	0,80
A02	9000001	10000000	80,0
A02	11000001	12000000	80,0
A02	13000001	14000000	80,0
A02	14000001	15000000	53.3333,26.6667
A02	15000001	16000000	80,0
A02	16000001	17000000	80,0
A02	17000001	18000000	0,80
A02	18000001	19000000	80,0
A02	19000001	20000000	80,0
A02	21000001	22000000	60,20
A02	23000001	24000000	80,0
A02	25000001	26000000	80,0
A02	26000001	27000000	80,0
A02	28000001	29000000	40,40
A02	29000001	30000000	80,0
A02	30000001	31000000	0,80
A02	31000001	32000000	80,0
A02	33000001	34000000	40,40
A02	34000001	35000000	40,40
A02	36000001	37000000	80,0
A02	37000001	38000000	80,0
A02	38000001	39000000	80,0
A02	39000001	40000000	40,40
A02	40000001	41000000	80,0
A02	41000001	42000000	80,0
A02	42000001	43000000	60,20
A02	43000001	44000000	80,0
A02	44000001	45000000	80,0
A02	45000001	46000000	80,0
A02	46000001	47000000	80,0
A02	47000001	48000000	40,40
A02	48000001	49000000	40,40
A02	49000001	50000000	80,0
A02	50000001	51000000	0,80
A02	53000001	54000000	26.6667,53.3333
A02	54000001	55000000	80,0
A02	55000001	56000000	53.3333,26.6667
A02	56000001	57000000	80,0
A02	57000001	58000000	0,80
A02	58000001	59000000	80,0
A02	60000001	61000000	0,80
A02	61000001	62000000	0,80
A02	63000001	64000000	80,0
A02	70000001	71000000	80,0
A02	71000001	72000000	60,20
A02	72000001	73000000	0,80
A02	73000001	74000000	60,20
A02	74000001	75000000	80,0
A02	75000001	76000000	80,0
A02	76000001	77000000	0,80
A02	77000001	78000000	64,16
A02	78000001	79000000	40,40
A02	79000001	80000000	80,0
A02	80000001	81000000	80,0
A02	81000001	82000000	40,40
A02	82000001	83000000	26.6667,53.3333
A02	83000001	84000000	80,0
A03	1	1000000	80,0
A03	2000001	3000000	80,0
A03	3000001	4000000	40,40
A03	4000001	5000000	0,80
A03	6000001	7000000	40,40
A03	7000001	8000000	80,0
A03	8000001	9000000	80,0
A03	10000001	11000000	40,40
A03	12000001	13000000	80,0
A03	13000001	14000000	80,0
A03	15000001	16000000	53.3333,26.6667
A03	16000001	17000000	40,40
A03	17000001	18000000	40,40
A03	19000001	20000000	80,0
A03	20000001	21000000	40,40
A03	21000001	22000000	80,0
A03	23000001	24000000	80,0
A03	24000001	25000000	80,0
A03	25000001	26000000	80,0
A03	27000001	28000000	80,0
A03	28000001	29000000	80,0
A03	30000001	31000000	80,0
A03	32000001	33000000	0,80
A03	33000001	34000000	60,20
A03	34000001	35000000	80,0
A03	35000001	36000000	80,0
A03	36000001	37000000	0,80
A03	37000001	38000000	80,0
A03	38000001	39000000	40,40
A03	39000001	40000000	48,32
A03	40000001	41000000	80,0
A03	41000001	42000000	80,0
A03	44000001	45000000	40,40
A03	47000001	48000000	40,40
A03	50000001	51000000	20,60
A03	51000001	52000000	0,80
A03	52000001	53000000	0,80
A03	53000001	54000000	0,80
A03	55000001	56000000	80,0
A03	56000001	57000000	26.6667,53.3333
A03	57000001	58000000	0,80
A03	59000001	60000000	0,80
A03	60000001	61000000	0,80
A03	61000001	62000000	0,80
A03	62000001	63000000	80,0
A03	63000001	64000000	0,80
A03	64000001	65000000	26.6667,53.3333
A03	65000001	66000000	0,80
