A01	3000001	4000000	80,0
A01	4000001	5000000	26.6667,53.3333
A01	5000001	6000000	40,40
A01	7000001	8000000	40,40
A01	9000001	10000000	80,0
A01	10000001	11000000	40,40
A01	12000001	13000000	80,0
A01	13000001	14000000	60,20
A01	14000001	15000000	26.6667,53.3333
A01	15000001	16000000	0,80
A01	17000001	18000000	53.3333,26.6667
A01	18000001	19000000	40,40
A01	20000001	21000000	80,0
A01	22000001	23000000	40,40
A01	24000001	25000000	0,80
A01	25000001	26000000	60,20
A01	27000001	28000000	80,0
A01	28000001	29000000	80,0
A01	31000001	32000000	40,40
A01	32000001	33000000	16,64
A01	34000001	35000000	0,80
A01	36000001	37000000	80,0
A01	38000001	39000000	80,0
A01	39000001	40000000	40,40
A01	40000001	41000000	48,32
A01	41000001	42000000	80,0
A01	42000001	43000000	53.3333,26.6667
A01	44000001	45000000	80,0
A01	45000001	46000000	80,0
A01	46000001	47000000	40,40
A01	47000001	48000000	0,80
A01	48000001	49000000	80,0
A01	49000001	50000000	40,40
A01	50000001	51000000	0,80
A01	52000001	53000000	60,20
A01	54000001	55000000	80,0
A01	55000001	56000000	80,0
A01	56000001	57000000	80,0
A01	57000001	58000000	60,20
A01	58000001	59000000	80,0
A01	59000001	60000000	80,0
A01	60000001	61000000	80,0
A01	61000001	62000000	80,0
A01	62000001	63000000	40,40
A01	65000001	66000000	80,0
A01	67000001	68000000	80,0
A01	68000001	69000000	0,80
A01	70000001	71000000	40,40
A01	71000001	72000000	80,0
A01	72000001	73000000	0,80
A01	73000001	74000000	0,80
A01	74000001	75000000	40,40
A01	75000001	76000000	0,80
A01	76000001	77000000	80,0
A01	78000001	79000000	80,0
A01	79000001	80000000	53.3333,26.6667
A01	81000001	82000000	53.3333,26.6667
A01	84000001	85000000	60,20
A01	85000001	86000000	80,0
A01	86000001	87000000	26.6667,53.3333
A01	87000001	88000000	0,80
A01	88000001	89000000	0,80
A01	89000001	90000000	0,80
A01	90000001	91000000	80,0
A01	92000001	93000000	80,0
A01	94000001	95000000	80,0
A01	95000001	96000000	80,0
A01	96000001	97000000	80,0
A01	97000001	98000000	80,0
A01	98000001	99000000	26.6667,53.3333
A01	99000001	100000000	80,0
A02	2000001	3000000	80,0
A02	3000001	4000000	0,80
